Target language lemma;ID;User language gloss;English gloss;POS;Level;Word source;Ex. ID;Form;Analysis;Target language example sentence;User language translation;English translation;Reference;Topic(s);;;;
adresa;1;address;;N.Fem.Inan;A1;Cvejnov‡;1;adresu;Acc.Sing;Nap’äu sem svoje jmŽno, mobil a e-mailovou adresu.;;IÕll write my name, phone number, and email address here.;SYN2015;osobn’ œdaje;;;;
adresa;2;address;;N.Fem.Inan;A1;Cvejnov‡;2;adrese;Loc.Sing;V’ce se dozv’te na internetovŽ adrese.;;Learn more at the web address.;SYN2015;osobn’ œdaje;;;;
adresa;3;address;;N.Fem.Inan;A1;Cvejnov‡;3;adresa;Nom.Sing;Toto je samozÞejmž adresa mŽho trvalŽho bydliätž.;;This is of course my permanent address.;SYN2015;osobn’ œdaje;;;;
adres‡t;4;addressee;;N.Masc.Anim;A1;Cvejnov‡;1;adres‡t;Nom.Sing;Pro poätu je adres‡t nezn‡mù nebo se odstžhoval.;;For the post office, the addressee is unknown or moved out.;SYN2015;nakupov‡n’ a sluìby;;;;
adres‡t;5;addressee;;N.Masc.Anim;A1;Cvejnov‡;2;adres‡tó;Gen.Plur;Skryt‡ kopie slouì’ k uveden’ dalä’ch adres‡tó.;;Bcc is used to specify additional recipients.;SYN2015;nakupov‡n’ a sluìby;;;;
adres‡t;6;addressee;;N.Masc.Anim;A1;Cvejnov‡;3;adres‡ta;Acc.Sing;Neberou ohled na adres‡ta dopisu.;;They disregard the addressee of the letter.;SYN2015;nakupov‡n’ a sluìby;;;;
advok‡t;7;advocate;;N.Masc.Anim;A1;Cvejnov‡;1;advok‡t;Nom.Sing;‘‡blóv advok‡t chtžl svoje pen’ze zpžt.;;Devil's advocate wanted their money back.;SYN2015;styk s œÞady;;;;
advok‡t;8;advocate;;N.Masc.Anim;A1;Cvejnov‡;2;advok‡ta;Gen.Sing;To jsi mi uì sdžloval prostÞednictv’m svŽho advok‡ta.;;You have already told me that through your lawyer.;SYN2015;styk s œÞady;;;;
advok‡t;9;advocate;;N.Masc.Anim;A1;Cvejnov‡;3;advok‡ti;Nom.Plur;Advok‡ti se velmi aktivnž uplatËovali ve väech sfŽr‡ch spole‹enskŽho ìivota.;;Advocates were very active in all spheres of social life.;SYN2015;styk s œÞady;;;;
advok‡tka;10;female advocate;;N.Fem.Anim;A1;Cvejnov‡;1;advok‡tka;Nom.Sing;Celia pracovala jako advok‡tka pro jistou slavnou londùnskou advok‡tn’ kancel‡Þ.;;Celia worked as an advocate for a famous London advocate office.;SYN2015;styk s œÞady;;;;
advok‡tka;11;female advocate;;N.Fem.Anim;A1;Cvejnov‡;2;advok‡tku;Acc.Sing;Moje budoucnost je džlat advok‡tku v kancel‡Þi mŽho otce.;;My future is to be an advocate in my father's office.;SYN2015;styk s œÞady;;;;
advok‡tka;12;female advocate;;N.Fem.Anim;A1;Cvejnov‡;3;advok‡tkou;Ins.Sing;Nechtžla jsem bùt advok‡tkou.;;I didn't want to be an advocate.;SYN2015;styk s œÞady;;;;
aerobik;13;aerobics;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;1;aerobiku;Pad:2,Cis:S;;;;SYN2015;volnù ‹as;;;;
aerobik;14;aerobics;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;2;aerobik;Pad:4,Cis:S;;;;;volnù ‹as;;;;
aerobik;15;aerobics;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;3;aerobik;Pad:1,Cis:S;;;;;volnù ‹as;;;;
alkohol;16;alcohol;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;1;alkoholu;Pad:2,Cis:S;;;;;stravov‡n’, cestov‡n’;;;;
alkohol;17;alcohol;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;2;alkohol;Pad:4,Cis:S;;;;;stravov‡n’, cestov‡n’;;;;
alkohol;18;alcohol;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;3;alkohol;Pad:1,Cis:S;;;;;stravov‡n’, cestov‡n’;;;;
angli‹tina;19;English;;N.Fem.Inan;A1;Cvejnov‡;1;angli‹tinž;Pad:6,Cis:S;;;;;vzdžl‡n’;;;;
angli‹tina;20;English;;N.Fem.Inan;A1;Cvejnov‡;2;angli‹tiny;Pad:2,Cis:S;;;;;vzdžl‡n’;;;;
angli‹tina;21;English;;N.Fem.Inan;A1;Cvejnov‡;3;angli‹tina;Pad:1,Cis:S;;;;;vzdžl‡n’;;;;
asistent;22;assistant;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;1;asistent;Pad:1,Cis:S;;;;;pr‡ce, vzdžl‡n’;;;;
asistent;23;assistant;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;2;asistenta;Pad:2,Cis:S;;;;;pr‡ce, vzdžl‡n’;;;;
asistent;24;assistant;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;3;asistentem;Pad:7,Cis:S;;;;;pr‡ce, vzdžl‡n’;;;;
asistentka;25;female assistant;;substantivumfemininumsingul‡r;A1;Cvejnov‡;1;asistentka;Pad:1,Cis:S;;;;;pr‡ce, vzdžl‡n’;;;;
asistentka;26;female assistant;;substantivumfemininumsingul‡r;A1;Cvejnov‡;2;asistentky;Pad:2,Cis:S;;;;;pr‡ce, vzdžl‡n’;;;;
asistentka;27;female assistant;;substantivumfemininumsingul‡r;A1;Cvejnov‡;3;asistentku;Pad:4,Cis:S;;;;;pr‡ce, vzdžl‡n’;;;;
auto;28;car;;substantivumneutrumsingul‡r;A1;Cvejnov‡;1;auta;Pad:2,Cis:S;;;;;cestov‡n’;;;;
auto;29;car;;substantivumneutrumsingul‡r;A1;Cvejnov‡;2;auto;Pad:4,Cis:S;;;;;cestov‡n’;;;;
auto;30;car;;substantivumneutrumsingul‡r;A1;Cvejnov‡;3;auto;Pad:1,Cis:S;;;;;cestov‡n’;;;;
autobus;31;bus;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;1;autobusu;Pad:2,Cis:S;;;;;cestov‡n’;;;;
autobus;32;bus;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;2;autobus;Pad:1,Cis:S;;;;;cestov‡n’;;;;
autobus;33;bus;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;3;autobusem;Pad:7,Cis:S;;;;;cestov‡n’;;;;
automat;34;machine;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;1;automató;Pad:2,Cis:P;;;;;cestov‡n’;;;;
automat;35;machine;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;2;automat;Pad:1,Cis:S;;;;;cestov‡n’;;;;
automat;36;machine;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;3;automatu;Pad:2,Cis:S;;;;;cestov‡n’;;;;
autoservis;37;car service;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;1;autoservisu;Pad:2,Cis:S;;;;;cestov‡n’;;;;
autoservis;38;car service;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;2;autoservisu;Pad:6,Cis:S;;;;;cestov‡n’;;;;
autoservis;39;car service;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;3;autoservis;Pad:1,Cis:S;;;;;cestov‡n’;;;;
babi‹ka;40;grandmother;;substantivumfemininumsingul‡r;A1;Cvejnov‡;1;babi‹ka;Pad:1,Cis:S;;;;;rodina;;;;
babi‹ka;41;grandmother;;substantivumfemininumsingul‡r;A1;Cvejnov‡;2;babi‹ky;Pad:2,Cis:S;;;;;rodina;;;;
babi‹ka;42;grandmother;;substantivumfemininumsingul‡r;A1;Cvejnov‡;3;babi‹ku;Pad:4,Cis:S;;;;;rodina;;;;
b‡l;43;ball;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;1;b‡l;Pad:4,Cis:S;;;;;volnù ‹as;;;;
b‡l;44;ball;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;2;b‡l;Pad:1,Cis:S;;;;;volnù ‹as;;;;
b‡l;45;ball;;substantivummaskulinumsingul‡r;A1;Cvejnov‡;3;b‡le;Pad:6,Cis:S;;;;;volnù ‹as;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
