Abbreviation,Spellout,English gloss,English translation
Acc.Fem.Sing,Accusative Feminine Singular,,
Acc.Plur,Accusative Plural,,
Acc.Sing,Accusative Singular,,
Adverb,Adverb,,
Anim.Acc.Masc.Sing,Animate Accusative Masculine Singular,,
Anim.Acc.Plur,Animate Accusative Plural,,
Biasp.Fem.Sing.Past,Biaspectual Feminine Singular Past,,
Biasp.Imper.Plur.2,Biaspectual Imperative Plural Second Person,,
Biasp.Inf,Biaspectual Infinitive,,
Biasp.Masc.Sing.Past,Biaspectual Masculine Singular Past,,
Biasp.Neut.Sing.Past,Biaspectual Neuter Singular Past,,
Biasp.Sing.3,Biaspectual Singular Third Person,,
Comparative,Comparative,,
Conditional,Conditional,,
Dat.Plur,Dative Plural,,
Dat.Sing,Dative Singular,,
Fem.Sing,Feminine Singular,,
Gen.Fem.Sing,Genitive Feminine Singular,,
Gen.Masc.Sing,Genitive Masculine Singular,,
Gen.Neut.Sing,Genitive Neuter Singular,,
Gen.Plur,Genitive Plural,,
Gen.Sing,Genitive Singular,,
Imperf.Fem.Sing.Past,Imperfective Feminine Singular Past,,
Imperf.Gerund,Imperfective Gerund,,
Imperf.Imper.Plur.2,Imperfective Imperative Plural Second Person,,
Imperf.Imper.Sing.2,Imperfective Imperative Singular Second Person,,
Imperf.Inf,Imperfective Infinitive,,
Imperf.Masc.Sing.Past,Imperfective Masculine Singular Past,,
Imperf.Neut.Sing.Past,Imperfective Neuter Singular Past,,
Imperf.Plur.1,Imperfective Plural First Person,,
Imperf.Plur.2,Imperfective Plural Second Person,,
Imperf.Plur.3,Imperfective Plural Third Person,,
Imperf.Masc.Plur.Past,Imperfective Masculine Plural Past,,
Imperf.Fem.Plur.Past,Imperfective Feminine Plural Past,,
Imperf.PresentActiveParticiple.Acc.Fem.Sing,Imperfective Present Active Participle Accusative Feminine Singular,,
Imperf.PresentActiveParticiple.Inan.Acc.Masc.Sing,Imperfective Present Active Participle Inanimate Accusative Masculine Singular,,
Imperf.PresentPassiveParticiple.Gen.Plur,Imperfective Present Passive Participle Genitive Plural,,
Imperf.Sing.1,Imperfective Singular First Person,,
Imperf.Sing.2,Imperfective Singular Second Person,,
Imperf.Sing.3,Imperfective Singular Third Person,,
Inan.Acc.Masc.Sing,Inanimate Accusative Masculine Singular,,
Inan.Acc.Neut.Sing,Inanimate Accusative Neuter Singular,,
Inan.Acc.Plur,Inanimate Accusative Plural,,
Ins.Fem.Sing,Instrumental Feminine Singular,,
Ins.Masc.Sing,Instrumental Masculine Singular,,
Ins.Dual,Instrumental Dual,,
Ins.Plur,Instrumental Plural,,
Ins.Sing,Instrumental Singular,,
Loc.Fem.Sing,Locative Feminine Singular,,
Loc.Masc.Sing,Locative Masculine Singular,,
Loc.Neut.Sing,Locative Neuter Singular,,
Loc.Plur,Locative Plural,,
Loc.Sing,Locative Singular,,
Masc.Sing,Masculine Singular,,
Neut.Sing,Neuter Singular,,
Nom.Fem.Sing,Nominative Feminine Singular,,
Nom.Masc.Sing,Nominative Masculine Singular,,
Nom.Neut.Sing,Nominative Neuter Singular,,
Nom.Plur,Nominative Plural,,
Nom.Sing,Nominative Singular,,
Perf.Fem.Sing.Past,Perfective Feminine Singular Past,,
Perf.Imper.Plur.2,Perfective Imperative Plural Second Person,,
Perf.Imper.Sing.2,Perfective Imperative Singular Second Person,,
Perf.Inf,Perfective Infinitive,,
Perf.Masc.Sing.Past,Perfective Masculine Singular Past,,
Perf.Neut.Sing.Past,Perfective Neuter Singular Past,,
Perf.PastPassiveParticiple.Neut.Sing,Perfective Past Passive Participle Neuter Singular,,
Perf.PastPassiveParticiple.Plur,Perfective Past Passive Participle Plural,,
Perf.Plur.1,Perfective Plural First Person,,
Perf.Masc.Plur.Past,Perfective Masculine Plural Past,,
Perf.Sing.3,Perfective Singular Third Person,,
Voc.Sing,Vocative Singular,,
Voc.Plur,Vocative Plural,,
