Grammatical Terms;Full names for Grammatical Terms
1;First Person
2;Second Person
3;Third Person
Acc;Accusative
Anim;Animate
Biasp;Biaspectual
Comparative;Comparative
Dat;Dative
Fem;Feminine
Gen;Genitive
Gerund;Gerund
Imper;Imperative
Imperf;Imperfective
Inan;Inanimate
Inf;Infinitive
Ins;Instrumental
Loc;Locative
Masc;Masculine
Neut;Neuter
Nom;Nominative
Past;Past
Past Active Participle;Past Active Participle
PastPassiveParticiple;Past Passive Participle
Perf;Perfective
Plur;Plural
PresentActiveParticiple;Present Active Participle
PresentPassiveParticiple;Present Passive Participle
Sing;Singular
