Topic;User language translation
osobní údaje;personal data
národnosti a náboÏenství;nationalities and religion
rodina;family
povaha a vzhled;character and appearance
bydlení;home
stravování;food
denní reÏim;daily routine
voln˘ ãas;leisure
práce;work
zdraví;health
nakupování a sluÏby;shopping and services
cestování;travelling
vzdûlávání;education
styk s úﬁady;contact with authorities
krizové situace;crisis situations
Ïivotní prostﬁedí a poãasí;environment and weather
spoleãnost a politika;society and politics
Existence;Existence
Kvantita a intenzita;Quantity and intensity
Rozmûry a míry;Dimensions and measures
Prostor;Space
âas;Time
Charakteristické vlastnosti;Characteristics
Hodnocení;Evaluation
Logické vztahy a operace;Logical relations and operations
jazykové funkce;language functions
